ticket_id,user_input_text,category,priority,user_name,device,application,system,error_message,department,annotated_for_ner,cleaned_input
T1486,VPN not connecting from home,Other / General Support,Low,,,,,,Sales,no,vpn not connecting from home
T1487,Vikram reports: Internet is very slow today on SRV-25,Network Issue,Low,Vikram,desktop,,SRV-25,,Operations,yes,vikram reports internet is very slow today on srv-25
T1488,VPN not connecting from home,Network Issue,High,,,,,,Admin,no,vpn not connecting from home
T1489,LAN connection not working,Network Issue,Low,,,,,,Admin,no,lan connection not working
T1490,Software installation failing with error,Hardware Issue,Low,,,,,,Admin,no,software installation failing with error
T1491,Software installation failing with error,Software Issue,High,,,,,,Sales,no,software installation failing with error
T1492,Vikram reports: Mouse not detected after system restart on SRV-40 showing slow performance,Other / General Support,Low,Vikram,monitor,,SRV-40,slow performance,IT,yes,vikram reports mouse not detected after system restart on srv-40 showing slow performance
T1493,Rahul reports: Application crashes when opening in Chrome on SRV-15 showing access denied,Access / Authentication Issue,High,Rahul,,Chrome,SRV-15,access denied,HR,yes,rahul reports application crashes when opening in chrome on srv-15 showing access denied
T1494,Amit reports: Outlook not syncing emails in SAP showing slow performance,Access / Authentication Issue,Low,Amit,PC,SAP,,slow performance,Sales,yes,amit reports outlook not syncing emails in sap showing slow performance
T1495,Software installation failing with error,Access / Authentication Issue,Low,,,,,,HR,no,software installation failing with error
T1496,Outlook not syncing emails,Email / Communication Issue,Medium,,,,,,Finance,no,outlook not syncing emails
T1497,Unable to login due to access denied in Outlook on SRV-57 showing server not reachable,Software Issue,Medium,,mouse,Outlook,SRV-57,server not reachable,HR,yes,unable to login due to access denied in outlook on srv-57 showing server not reachable
T1498,Internet is very slow today,Other / General Support,High,,,,,,IT,no,internet is very slow today
T1499,Neha reports: Software installation failing with error in InternalTool on SRV-41,Software Issue,High,Neha,PC,InternalTool,SRV-41,,IT,yes,neha reports software installation failing with error in internaltool on srv-41
T1500,Unable to login due to access denied,Hardware Issue,Low,,,,,,IT,no,unable to login due to access denied
